Sentence,processed_text,Sentiment
"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",geosolutions technology leverage benefon gps solutions providing location based search technology communities platform location relevant multimedia content new powerful commercial model,positive
"$ESI on lows, down $1.50 to $2.50 BK a real possibility",esi lows bk real possibility,negative
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",last quarter componenta net sales doubled period year earlier moved zero profit loss,positive
"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",according chamber commerce major construction companies finland operating russia,neutral
"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",swedish buyout firm sold remaining percent stake almost eighteen months taking company public finland,neutral
$SPY wouldn't be surprised to see a green close,spy would surprised see green close,positive
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,shell billion bg deal meets shareholder skepticism,negative
"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",ssh communications security corp stock exchange release october pm company updates full year outlook estimates results remain loss full year,negative
Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,kone net sales rose first nine months,positive
"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",stockmann department store total floor space square metres stockmann investment project price tag eur million,neutral
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,circulation revenue increased finland sweden,positive
$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,sap disappoints software licenses real problem cloud growth trails msft orcl goog crm adbe https,negative
"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .",subdivision made sales revenues last year eur million eur million operating profits eur million eur million,positive
Viking Line has canceled some services .,viking line canceled services,neutral
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",ahlstrom corporation stock exchange announcement total new shares ahlstrom corporation subscribed option rights company stock option programs ii,neutral
$FB gone green on day,fb gone green day,positive
$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,msft sql server revenue grew sql server premium revenue growing http,positive
"According to L+ñnnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",according tehtaat ceo matti karppinen company aims deliver fish products customers day earlier currently,neutral
The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,company share quoted nasdaq omx helsinki rautaruukki oyj rtrks,neutral
Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,elcoteq se listed nasdaq omx helsinki,neutral
Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,two contracts turntable anode vibrocompactors delivered gansu hualu aluminum co ltd another unnamed costumer,neutral
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",aviva friends life top forecasts ahead billion pound merger,positive
"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",stead based soft drink usual teho energy drink made fresh water,neutral
The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,company plans increase unit specialist staff several dozen depending market situation,neutral
The company closed last year with a turnover of about four million euros .,company closed last year turnover four million euros,neutral
Shire CEO steps up drive to get Baxalta board talking,shire ceo steps drive get baxalta board talking,positive
Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,costco premier retail dividend play https cost,positive
"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",building gross floor area sq also include apartments,neutral
"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .",first installment cinema series concludes profile finnish inventor olavi linden whose personal artistic journey work fiskars led dozens design awards,neutral
All are welcome .,welcome,neutral
"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",stockmann swedish sector company ab lindex entered agreement september whereby stockmann subsidiary make public tender offer lindex issued shares,positive
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",huhtamaki oyj stock exchange release huhtamaki capital markets day institutional investors analysts held espoo september starting pm finnish time,neutral
`` We are pleased to welcome Tapeks Noma into Cramo group .,pleased welcome tapeks noma cramo group,positive
- Profit before taxes was EUR 105.9 82.7 million .,profit taxes eur million,neutral
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,royal dutch shell buy bg group nearly billion,positive
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",financialwire tm press release service receives compensation news opinions distributions,neutral
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,assa abloy kaupthing bank gave neutral recommendation share price target crowns euro swedish lock maker assa abloy ab,neutral
"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",item included restructuring costs year earlier diluted eps stood versus loss per share eur,positive
In 2005 the bank posted a net profit of Lt 8.2 mn .,bank posted net profit lt mn,neutral
$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,aapl afternoon selloff usual brutal get ready lose ton money,negative
$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,tsla recalling pretty much every single model x cnnbrk got short even work jump money trade,negative
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",dolce gabbana asked european union declare marimekko corporation unikko floral pattern trademark invalid continuing dispute two companies,negative
InterContinental Hotels first-quarter global room revenue lags estimates,intercontinental hotels global room revenue lags estimates,negative
"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",according finnish pension insurance company varma varma recipient two thirds revenue pension cover competitive tendering finland,positive
"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",portion million recorded part winnings prior patent dispute finnish phone maker nokia oyj,positive
"L&G still paying price for dividend cut during crisis, chief says",l g still paying price dividend cut crisis chief says,negative
The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,volume investments two phases project estimated usd eur mn,neutral
"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .",russia accounted lagardere magazine division revenue eur mn usd mn usa,neutral
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,company also estimates already carried investments lead increase net sales reached eur million,positive
Profit of the accounting period was EUR 0.3 mn .,profit accounting period eur mn,neutral
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",six breweries recorded percent growth domestic beer sales last year million liters million liters sold,positive
"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",company result taxes totalled eur mn eur mn corresponding period,positive
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",systeemitiimi sales project resources also strengthened director paul skogberg said,positive
Tesco share price jumps as Q3 sales top estimates,tesco share price jumps sales top estimates,positive
The fine print is here .,fine print,neutral
The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,price logs clearly improved also price pulpwood gone,positive
"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .",thus sysopen digia accordance chapter section finnish companies act obtained title shares sentera redeemed,neutral
Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,diluted earnings per share eps fell eur eur,neutral
"At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .",eastern time block contracts changed hands bid price,neutral
"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",recent technology deliveries include refinery technology anrak aluminium iron ore pelletizing plant tata steel iron ore sintering plants bhushan steel,neutral
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,vips similar pattern like beginning may u sell go much higher drop,positive
The firm generated sales of 187 mln eur in 2005 .,firm generated sales mln eur,neutral
"Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .",stora enso also meetings labor authorities employment economic development centres representatives government order find solutions,neutral
AstraZeneca profit down as sales of stalwarts fade,astrazeneca profit sales stalwarts fade,negative
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",rt andrewnyquist chartology yahoo http yhoo crazy looking chart nearing breakout resistance line,positive
Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,bullish stocks twitter dip yhoo gdx googl stz gold ew vz celg sbux scty https,positive
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",finnish geosentric net sales decreased eur,negative
