source,text,processed_text,year,sentiment
kaggle,"The GeoSolutions technology will leverage Benefon 's GPS solutions by providing Location Based Search Technology , a Communities Platform , location relevant multimedia content and a new and powerful commercial model .",geosolutions technology leverage benefon gps solutions providing location based search technology communities platform location relevant multimedia content new powerful commercial model,,positive
kaggle,"$ESI on lows, down $1.50 to $2.50 BK a real possibility",esi lows bk real possibility,,negative
kaggle,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",last quarter 2010 componenta net sales doubled period year earlier moved zero profit loss,2010.0,positive
kaggle,"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",according chamber commerce major construction companies finland operating russia,,neutral
kaggle,"The Swedish buyout firm has sold its remaining 22.4 percent stake , almost eighteen months after taking the company public in Finland .",swedish buyout firm sold remaining percent stake almost eighteen months taking company public finland,,neutral
kaggle,$SPY wouldn't be surprised to see a green close,spy would surprised see green close,,positive
kaggle,Shell's $70 Billion BG Deal Meets Shareholder Skepticism,shell billion bg deal meets shareholder skepticism,,negative
kaggle,"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",ssh communications security corp stock exchange release october 2008 pm company updates full year outlook estimates results remain loss full year,2008.0,negative
kaggle,Kone 's net sales rose by some 14 % year-on-year in the first nine months of 2008 .,kone net sales rose first nine months 2008,2008.0,positive
kaggle,"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",stockmann department store total floor space square metres stockmann investment project price tag eur million,,neutral
kaggle,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,circulation revenue increased finland sweden 2008,2008.0,positive
kaggle,$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,sap disappoints software licenses real problem cloud growth trails msft orcl goog crm adbe https,,negative
kaggle,"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .",subdivision made sales revenues last year eur million eur million 2008 operating profits eur million eur million,2008.0,positive
kaggle,Viking Line has canceled some services .,viking line canceled services,,neutral
kaggle,"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",ahlstrom corporation stock exchange announcement total new shares ahlstrom corporation subscribed option rights company stock option programs 2001 ii 2001,2001.0,neutral
kaggle,$FB gone green on day,fb gone green day,,positive
kaggle,$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,msft sql server revenue grew sql server premium revenue growing http,,positive
kaggle,"According to L+ñnnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",according tehtaat ceo matti karppinen company aims deliver fish products customers day earlier currently,,neutral
kaggle,The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,company share quoted nasdaq omx helsinki rautaruukki oyj rtrks,,neutral
kaggle,Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,elcoteq se listed nasdaq omx helsinki,,neutral
kaggle,Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,two contracts turntable anode vibrocompactors delivered gansu hualu aluminum co ltd another unnamed costumer,,neutral
kaggle,"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",aviva friends life top forecasts ahead billion pound merger,,positive
kaggle,"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",stead based soft drink usual teho energy drink made fresh water,,neutral
kaggle,The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,company plans increase unit specialist staff several dozen depending market situation 2010,2010.0,neutral
kaggle,The company closed last year with a turnover of about four million euros .,company closed last year turnover four million euros,,neutral
kaggle,Shire CEO steps up drive to get Baxalta board talking,shire ceo steps drive get baxalta board talking,,positive
kaggle,Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,costco premier retail dividend play https cost,,positive
kaggle,"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",building gross floor area sq also include apartments,,neutral
kaggle,"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .",first installment cinema series concludes profile finnish inventor olavi linden whose personal artistic journey work fiskars led dozens design awards,,neutral
kaggle,All are welcome .,welcome,,neutral
